Title,Company,Location,Category,Contract Type,Contract Time,Salary Min,Salary Max,Created,Description,Redirect URL,timestamp
Data Engineer,Ashdown People,"Sydney CBD, Sydney",IT Jobs,contract,,,,2025-02-06T08:42:16Z,"We are seeking a talented and motivated Data Engineer to join an exciting insurance company for a long-term contract opportunity. In this role, you’ll work on cutting-edge data uplift and transformation projects, utilizing Azure Cloud and the Microsoft tech stack. This is a fantastic opportunity for someone who thrives in a collaborative environment and is passionate about driving data-driven solutions. Key Responsibilities: Lead data uplift and transformation projects, implementing scalable an…",https://www.adzuna.com.au/land/ad/5038984443?se=2OZscYLk7xGB_lISq3A-oA&utm_medium=api&utm_source=4a3e4881&v=AE774A39CF43816A7D01C31FC1BE0A06703B3E28,2025-02-06 23:04:50.592510
Data Engineer,Ashdown People,"Sydney CBD, Sydney",IT Jobs,contract,full_time,,,2025-02-06T08:42:16Z,"We are looking for a skilled Full Stack Drupal Developer to join a Government team for a 3-month contract (with potential extension). The role involves building and customizing Drupal 10 websites, from front-end templates to back-end scripting, ensuring smooth integrations and high-performance builds. Key Responsibilities: Site building, configuration, and theming of Drupal 10 websites Translate designs into responsive Drupal themes Develop tools and APIs for system and website integrations Deb…",https://www.adzuna.com.au/land/ad/5038984448?se=2OZscYLk7xGB_lISq3A-oA&utm_medium=api&utm_source=4a3e4881&v=6F423466FED7D8FCD0734D746CE7CAD9997FEE68,2025-02-06 23:04:50.592510
DATA ENGINEER,Sense Recruitment,"Bayswater, Bayswater Area",IT Jobs,,part_time,,,2025-02-06T08:42:09Z,"Part-Time Data Warehouse & BI Specialist – Subiaco (3 Days per Week) Are you a skilled Data Warehouse & BI Specialist looking for a part-time opportunity where you can make a real impact? We are seeking an experienced professional to join our team in Subiaco , working three days per week to support critical finance, procurement, and clinical care improvements through data-driven solutions. About the Role: As a Data Warehouse & BI Specialist , you will be responsible for designing, developing, a…",https://www.adzuna.com.au/land/ad/5038983329?se=2OZscYLk7xGB_lISq3A-oA&utm_medium=api&utm_source=4a3e4881&v=FF43260ABACC415CABA3D002A36AE99AA493B075,2025-02-06 23:04:50.592510
Senior Data Engineer,RACGP,"South Yarra, Stonnington Area",IT Jobs,contract,full_time,,,2025-02-06T08:42:10Z,"Corporate Services Business Intelligence & Insights Melbourne Full Time, Fixed Term 5/2/2025 Full Time / Fixed Term opportunity until February 2026 Flexible work arrangements, 17.5% annual leave loading, 14% Super  additional paid leave over Christmas Leading National Health and Education member-based organisation About the role Reporting to the Data Engineering Lead, the Senior Data Engineer will manage, develop, test, deploy, and maintain data pipelines and integration processes, primarily us…",https://www.adzuna.com.au/land/ad/5038983410?se=2OZscYLk7xGB_lISq3A-oA&utm_medium=api&utm_source=4a3e4881&v=68D865537311373153ABA883942A9E5E46F8750A,2025-02-06 23:04:50.592510
Staff Data Engineer - Data Mesh,Commonwealth Bank of Australia,"Sydney CBD, Sydney",IT Jobs,,full_time,,,2025-02-05T20:36:34Z,"You are passionate about modern data architectures, automation, and driving business value through data democratisation. We are a team of big thinkers who are engineering the future of banking Together we will build tomorrow’s bank today, using world-leading technology and innovation Do work that matters We're building tomorrow’s bank today, which means we need creative and diverse engineers to help us redefine what customers expect from a bank. Envisioning new technologies that are still waiti…",https://www.adzuna.com.au/land/ad/5038362775?se=2OZscYLk7xGB_lISq3A-oA&utm_medium=api&utm_source=4a3e4881&v=4B489D99319C4B492A9B05564EF74816688FA60B,2025-02-06 23:04:50.592510
Data Engineer - Hawthorn East,Coles,"Clifton Hill, Yarra Area",IT Jobs,permanent,full_time,,,2025-02-06T08:42:07Z,"JOB DESCRIPTION We've been trusted to serve Aussie communities since 1914 and grown to become a top 30-listed on the ASX with 120,000 team members and a portfolio of iconic brands. At Coles Group, you'll not only get to make a difference to millions of Aussie lives—you'll also get to see your impact. About the team As the way we shop continues to evolve, our Data team keeps us at the cutting edge. Driven by our innovative, inclusive, and forward-thinking culture, we’re constantly looking at way…",https://www.adzuna.com.au/land/ad/5038983055?se=2OZscYLk7xGB_lISq3A-oA&utm_medium=api&utm_source=4a3e4881&v=34ACB345C471F9B9CD70228BCAB7BC458A2BEB10,2025-02-06 23:04:50.592510
Lead Data Engineer - Qld Government,Randstad,"Queensland, Australia",IT Jobs,contract,,187200,195520,2025-02-06T08:42:16Z,"Randstad are currently working with a Queensland Government Department to find a Lead Data Engineer on initial contract until EOFY 2025. This role is based in Brisbane city with WFH flexibility. This role is a Government A08.1, which is $93.41 an hour  super or $104.15 an hour including super. Key Duties: Be the Lead data engineer responsible for delivering an Azure cloud-based database solution that: Builds an upon existing Azure Synapse data lake solution Interacts effectively with data store…",https://www.adzuna.com.au/land/ad/5038984412?se=2OZscYLk7xGB_lISq3A-oA&utm_medium=api&utm_source=4a3e4881&v=9426CCC11D58E1731109FF11BB5DF13FA2E1505A,2025-02-06 23:04:50.592510
Data Engineer,Ashdown Consulting,"Sydney, Sydney Region",IT Jobs,contract,full_time,260000,260000,2025-02-06T04:58:22Z,"We are seeking a talented and motivated Data Engineer to join an exciting insurance company for a long-term contract opportunity. In this role, you’ll work on cutting-edge data uplift and transformation projects, utilizing Azure Cloud and the Microsoft tech stack. This is a fantastic opportunity for someone who thrives in a collaborative environment and is passionate about driving data-driven solutions. Key Responsibilities: Lead data uplift and transformation projects, implementing scalable an…",https://www.adzuna.com.au/details/5038795748?utm_medium=api&utm_source=4a3e4881,2025-02-06 23:04:50.592510
Data Engineer,XPT Software Australia Pty Ltd,"The Rocks, Sydney",IT Jobs,contract,,,,2025-02-05T04:50:17Z,"Job Description: As a Data Engineer, you will be responsible for designing, developing, and maintaining robust data infrastructure and pipelines. You will work closely with cross-functional teams to understand business requirements, optimize data workflows, and ensure the reliability and performance of our data systems. Key Responsibilities: · Design, build, and optimize data processing pipelines using Apache Spark, Python, Scala. · Develop and maintain data ingestion and extraction processes, …",https://www.adzuna.com.au/details/5036768826?utm_medium=api&utm_source=4a3e4881,2025-02-06 23:04:50.592510
Data Engineer,Swinburne University of Technology,"South Yarra, Stonnington Area",IT Jobs,contract,full_time,,,2025-02-06T14:47:27Z,"Messages To proceed, please enable JavaScript in your internet browser. After enabling JavaScript, you will need to close and re-open this browser window. Prime opportunity to join IT in the Data & Insight Team Fixed Term for 1 year, full-time position in a central Hawthorn location HEW 8  17% Super and attractive staff benefits include hybrid work and discount study fees About the Role In this role, you will operate under the guidance of the Team Lead, Data Engineering, within our Information …",https://www.adzuna.com.au/land/ad/5039318016?se=2OZscYLk7xGB_lISq3A-oA&utm_medium=api&utm_source=4a3e4881&v=D4C31AAA4371E45D8A69F8E375C921FE3F789249,2025-02-06 23:04:50.592510
Data Engineer,Zone IT Solutions,"The Rocks, Sydney",IT Jobs,,full_time,,,2025-02-05T20:35:51Z,"We are currently seeking a highly motivated and experienced Data Engineer to a full-time position. You will be responsible for designing and implementing data architectures, integrating data from various sources, and optimizing data pipelines to ensure efficient and accurate data processing. Requirements Key responsibilities: Design and implement data architectures, including databases and processing systems Integrate data from various sources and ensure data quality and reliability Optimize da…",https://www.adzuna.com.au/land/ad/5038361969?se=2OZscYLk7xGB_lISq3A-oA&utm_medium=api&utm_source=4a3e4881&v=6EF06334433115C6FDFEFC1CE18865962658F093,2025-02-06 23:04:50.592510
Data Engineer,Ashdown People,"Sydney CBD, Sydney",IT Jobs,contract,,,,2025-02-06T08:42:16Z,"Digital Content Specialist | 3 Month Contract | $650  super $650 per day  Super 3 Month Contract Sydney CBD  WFH About the Company We have a rewarding and exciting opportunity for a Drupal Content Specialist to join a large NSW Government organisation. This role is responsible for preparing the digital content assets for the different audiences. About the Role Coordinate the review, updating and uploading of digital content into the Drupal CMS. Assist staff in the use of the Drupal CMS and publ…",https://www.adzuna.com.au/land/ad/5038984346?se=2OZscYLk7xGB_lISq3A-oA&utm_medium=api&utm_source=4a3e4881&v=03001DD483BC0C3ED99315584DCE072F588B4C1B,2025-02-06 23:04:50.592510
Senior Data Engineer,Talenza,"New South Wales, Australia",IT Jobs,contract,full_time,228800,228800,2025-02-06T04:04:31Z,"Role: Senior Data Engineer Daily Rate: $880  Super Contract Length: Initial Contract until 30/05/25 Location: Fully Remote (within NSW) Join a high-impact project at the forefront of Australia's energy transformation. As a Senior Data Engineer , you will play a critical role in shaping the future of the energy sector by developing and managing Azure Databricks streaming pipelines that process data from Azure Event Hub . This project is an essential initiative to support Australia's energy marke…",https://www.adzuna.com.au/details/5038711915?utm_medium=api&utm_source=4a3e4881,2025-02-06 23:04:50.592510
Senior Data Engineer,Frazer Tremble Executive,"Melbourne, Melbourne Region",IT Jobs,contract,full_time,1000,1000,2025-02-06T04:58:18Z,"About the Role Frazer Tremble is partnering with a well-known university to hire a Senior Data Engineer for an exciting data migration project. You'll be instrumental in transitioning from an on-premise Oracle Data Warehouse to a modern Snowflake/AWS solution. This collaborative, high-performing team is looking for someone with strong experience in cloud data migrations, infrastructure as code, and data pipeline orchestration. Key Responsibilities: Develop, optimise, and maintain ETL & data pip…",https://www.adzuna.com.au/details/5038795649?utm_medium=api&utm_source=4a3e4881,2025-02-06 23:04:50.592510
Head of Data Engineering,VGW,"Perth, Perth Region",IT Jobs,,,,,2025-02-04T22:02:46Z,"Head of Data Engineering VGW is an interactive entertainment company, harnessing technology and creativity to deliver world-class, free-to-pl ay games. We have an exciting opportunity to join our Technology team in Australia and are currently looking for a Head of Data Engineering to join the team. As the Head of Data Engineering at VGW, you will lead the strategy to deliver high-quality, reliable data, drive innovation, and build a culture that empowers data-driven decisions across the organis…",https://www.adzuna.com.au/details/5036320662?utm_medium=api&utm_source=4a3e4881,2025-02-06 23:04:50.592510
GCP Data Engineer,Zone IT Solutions,"The Rocks, Sydney",IT Jobs,,full_time,,,2025-02-04T14:25:57Z,"We are seeking a talented GCP Data Engineer. You will be responsible for designing, building, and maintaining robust data pipelines and data solutions on the Google Cloud Platform. Requirements Strong experience as a GCP Data Engineer, with proven experience in designing and implementing data pipelines and solutions on the Google Cloud Platform. Proficiency in GCP services such as BigQuery, Dataflow, Pub/Sub, Cloud Storage, and Data Fusion. Experience in data ingestion, data transformation, and…",https://www.adzuna.com.au/land/ad/5035877581?se=2OZscYLk7xGB_lISq3A-oA&utm_medium=api&utm_source=4a3e4881&v=64D07C33BB33F5A7AC80BE7936DBC609276823C3,2025-02-06 23:04:50.592510
Senior Data Engineer,Bluefin Resources,"Haberfield, Ashfield Area",IT Jobs,contract,full_time,,,2025-02-05T20:36:38Z,"Temporary to Permanent opportunity Great benefits & culture $100-120k  super Bluefin Resources is proud to partner with a prestigious government enterprise to recruit a Senior Data Engineer for a long-term contract. This exciting opportunity calls for a highly skilled professional with strong technical expertise across the Azure Data Platform, contributing to impactful data-driven initiatives. Position Purpose The Senior Data Engineer will play a key role in delivering data-driven insights by p…",https://www.adzuna.com.au/land/ad/5038363308?se=2OZscYLk7xGB_lISq3A-oA&utm_medium=api&utm_source=4a3e4881&v=5B41D1C7828AD0365106305FDE72623B7256C547,2025-02-06 23:04:50.592510
Staff Data Engineer,HAYS,"Sydney CBD, Sydney",IT Jobs,,full_time,,,2025-02-06T14:47:27Z,"AWS Redshift and Snowflake cloud data expert at staff level Your new company Big 4 bank based in Sydney, Australia with hybrid working Your new role You will be joining an IB&M Data Engineering team. Working with our stakeholders in the Data and Platform crew, you will help drive our commitments in our Data Strategy to achieve our vision of becoming the best AI Bank in the world to better serve customers. You will collaborate with industry leaders to drive forward our mission of revolutionising…",https://www.adzuna.com.au/land/ad/5039318026?se=2OZscYLk7xGB_lISq3A-oA&utm_medium=api&utm_source=4a3e4881&v=909E54E341FDFACFC7FDD1C9F2699FF166AB862E,2025-02-06 23:04:50.592510
Staff Data Engineer,Hays,"Sydney, Sydney Region",IT Jobs,,full_time,,,2025-02-05T21:08:36Z,"AWS Redshift and Snowflake cloud data expert at staff level Your new company Big 4 bank based in Sydney, Australia with hybrid working Your new role You will be joining an IB&M Data Engineering team. Working with our stakeholders in the Data and Platform crew, you will help drive our commitments in our Data Strategy to achieve our vision of becoming the best AI Bank in the world to better serve customers. You will collaborate with industry leaders to drive forward our mission of revolutionising…",https://www.adzuna.com.au/details/5038377089?utm_medium=api&utm_source=4a3e4881,2025-02-06 23:04:50.592510
AWS Data Engineer,Accenture,"Victoria, Australia",IT Jobs,,full_time,,,2025-02-04T08:31:25Z,"Job Description Great humans needed. Combine the best of your ingenuity and Cloud technologies to build a better world and manage clients towards change. Join us and do extraordinary things. About Accenture Accenture is a global professional services company with leading capabilities in digital, cloud and security. Find out more about us at accenture.com About you: As a Cloud Data Engineer, you will design and maintain data analytic road maps and data structures that support business and techno…",https://www.adzuna.com.au/land/ad/5035656259?se=2OZscYLk7xGB_lISq3A-oA&utm_medium=api&utm_source=4a3e4881&v=44DFCB8F1E8AC9E1D407D040CB5177B5947454F7,2025-02-06 23:04:50.592510
Independent Data Engineer,Cognizant,"Melbourne, Melbourne Region",IT Jobs,,full_time,,,2025-02-04T17:48:18Z,"What makes Cognizant a unique place to work? The combination of rapid growth and an international and innovative environment This is creating many opportunities for people like YOU - people with an entrepreneurial spirit who want to make a difference in this world. At Cognizant, together with your colleagues from all around the world, you will collaborate on creating solutions for the world's leading companies and help them become more flexible, more innovative, and successful. Moreover, this i…",https://www.adzuna.com.au/details/5036059261?utm_medium=api&utm_source=4a3e4881,2025-02-06 23:04:50.592510
Staff Data Engineer - Data Mesh,Commonwealth Bank of Australia,"Sydney, Sydney Region",IT Jobs,,full_time,,,2025-02-04T22:04:02Z,"You are passionate about modern data architectures, automation, and driving business value through data democratisation. We are a team of big thinkers who are engineering the future of banking Together we will build tomorrow’s bank today, using world-leading technology and innovation Do work that matters We're building tomorrow’s bank today, which means we need creative and diverse engineers to help us redefine what customers expect from a bank. Envisioning new technologies that are still waiti…",https://www.adzuna.com.au/details/5036321277?utm_medium=api&utm_source=4a3e4881,2025-02-06 23:04:50.592510
Engineer - Data Platforms,Westpac Group,"The Rocks, Sydney",IT Jobs,permanent,full_time,,,2025-02-04T20:29:12Z,"Permanent and Sydney based role 2 positions available Be part of a world class team How will I help? The Data Platforms (DP) function comprises of a team of data professionals dedicated to building game-changing data capabilities for Westpac Group and shaping the future of banking. We understand the big picture and focus on and deliver initiatives that will significantly and positively impact the Westpac Group. With a significant transformation agenda over the next few years, we are committed t…",https://www.adzuna.com.au/land/ad/5036227407?se=2OZscYLk7xGB_lISq3A-oA&utm_medium=api&utm_source=4a3e4881&v=FEFA78F2437259CBCACBA82A428B4EF7A14D7271,2025-02-06 23:04:50.592510
Data Engineer - Platform & Analytics,CircuIT Recruitment Group,"Melbourne, Melbourne Region",IT Jobs,permanent,full_time,180000,180000,2025-02-06T04:58:05Z,"Job Title: Data Engineer Location: Melbourne, Hybrid 50% Salary: $160,000 - $180,000 including super About Our Client Our client is a leading retailer dedicated to delivering exceptional customer experiences through innovation and technology. As consumer behavior evolves, they continue to invest in data-driven solutions that enhance operations, product offerings, and customer engagement. About the Role A new, permanent opportunity has arisen for a Data Engineer to join the team. This role is id…",https://www.adzuna.com.au/details/5038795454?utm_medium=api&utm_source=4a3e4881,2025-02-06 23:04:50.592510
Data Engineer - Sydney or Melbourne,Ayan Infotech,"Sydney CBD, Sydney",IT Jobs,contract,full_time,,,2025-02-05T14:36:18Z,"Ayan Infotech are looking for a Data Engineer for a long term contract job opportunity in Melbourne with one of our private clients. All applicants must have full unrestricted work rights in Australia. Title: Data Engineer Location: Melbourne Type: Contract (6 months ) Required Skills and Experience: As a Data Engineer, you will be responsible for designing, developing, and maintaining robust data infrastructure and pipelines. You will work closely with cross-functional teams to understand busi…",https://www.adzuna.com.au/land/ad/5037992172?se=2OZscYLk7xGB_lISq3A-oA&utm_medium=api&utm_source=4a3e4881&v=ED57589270F7B007EBB3A37A66F9115DB9C849AF,2025-02-06 23:04:50.592510
AWS Cloud Data Engineer,Nixil,Australia,IT Jobs,,,,,2025-02-06T18:32:03Z,"Work options: On-Site Offices located in Sydney CBD and Melbourne CBD Are you an experienced AWS Cloud Data Engineer looking to be part of a cutting-edge data transformation initiative ? Join a leading Australian bank as they modernize their data and analytics platform to become the best AI-driven bank in the world  Work on a high-impact, multi-year data transformation program Collaborate with IT and business stakeholders to shape the bank’s data strategy Leverage the latest AWS cloud technolog…",https://www.adzuna.com.au/details/5039617581?utm_medium=api&utm_source=4a3e4881,2025-02-06 23:04:50.592510
Senior Associate | Data Engineering | Data & Ai,PricewaterhouseCoopers Services Trust,"Melbourne, Melbourne Region",IT Jobs,,full_time,,,2025-02-06T21:55:50Z,"Line of Service Advisory Industry/Sector Not Applicable Specialism Advisory - Other Management Level Administrative Job Description & Summary Consulting brings this to life by helping clients improve the way they operate, reduce costs, manage risks, leverage talent, or fundamentally change the way they do business. Your work here will help organisations of all shapes and sizes work smarter and grow faster. We are seeking a skilled Data Engineer to join our dynamic team. You will be responsible …",https://www.adzuna.com.au/details/5039745127?utm_medium=api&utm_source=4a3e4881,2025-02-06 23:04:50.592510
Data Migration Lead/Data Engineer,INGRITY,"The Rocks, Sydney",IT Jobs,contract,full_time,,,2025-02-04T00:52:14Z,"Join our team as a Data Engineering / Data Migration Lead and take the helm in an exciting migration of data workloads from SAS to Databricks for a major brand client. If you are passionate about Databricks, Spark, and cloud-based data engineering , this is your opportunity to drive a high-impact, transformative project . Immediate start available Job Type: Contract (with potential for full-time permanent position). Apply for a position via our career portal https://ingrity.com/careers/?jobIdWj…",https://www.adzuna.com.au/details/5035224854?utm_medium=api&utm_source=4a3e4881,2025-02-06 23:04:50.592510
Technical Lead - Software Data Engineer,CircuIT Recruitment Group,"Melbourne, Melbourne Region",IT Jobs,permanent,full_time,180000,200000,2025-02-06T04:58:05Z,"Technical Lead - AI Software / Data Engineer Location: Melbourne, Hybrid 50 % Salary Range: $170,000 - $210,000  super (based on experience) About our Client: This is a Melbourne-based technology firm specializing in cutting-edge artificial intelligence solutions. The company builds and deploys AI-enabled software applications for enterprise and large private customers across Australia. With services ranging from predictive analytics and advanced machine learning models to AI education and gove…",https://www.adzuna.com.au/details/5038795455?utm_medium=api&utm_source=4a3e4881,2025-02-06 23:04:50.592510
Data Engineer Intern - Summer 2025,Lenovo,Australia,IT Jobs,contract,full_time,,,2025-02-05T10:56:01Z,"Why Work at Lenovo We are Lenovo. We do what we say. We own what we do. We WOW our customers. Lenovo is a US$57 billion revenue global technology powerhouse, ranked 248 in the Fortune Global 500, and serving millions of customers every day in 180 markets. Focused on a bold vision to deliver Smarter Technology for All, Lenovo has built on its success as the world’s largest PC company with a full-stack portfolio of AI-enabled, AI-ready, and AI-optimized devices (PCs, workstations, smartphones, ta…",https://www.adzuna.com.au/details/5037830219?utm_medium=api&utm_source=4a3e4881,2025-02-06 23:04:50.592510
"Salesforce Data Cloud Engineer - South Bank, QLD",Flight Centre Travel Group,"Queensland, Australia",IT Jobs,,full_time,,,2025-02-05T14:36:17Z,"Come and join our global leisure MarTech team as a Salesforce Data Cloud Engineer You'll be instrumental in driving data-driven marketing success by integrating Salesforce Data Cloud with Data Bricks and other sources. Your expertise will be crucial in creating a 360-degree customer view and powering personalized campaigns across our diverse customer base. Who you are: Data Integration and Ingestion Design and implement data pipelines to ingest data from various sources, including Data Bricks, …",https://www.adzuna.com.au/land/ad/5037991876?se=2OZscYLk7xGB_lISq3A-oA&utm_medium=api&utm_source=4a3e4881&v=8ECEE7A7FE906D6D9B8BF53CADA2C149B1FE87E9,2025-02-06 23:04:50.592510
