Title,Company,Location,Category,Contract Type,Contract Time,Salary Min,Salary Max,Created,Description,Redirect URL,timestamp
Data Engineer,Qantas,"Sydney, Sydney Region",IT Jobs,,,,,2025-02-01T03:43:41Z,"Job Description Exciting opportunity within our Data & Analytics team Permanent, full-time roles working at our Mascot Campus (hybrid working options available) Staff Travel Benefits from Day One The Data Engineer will utilise their experience and technical skills in data engineering to deliver data solutions as part of a data project team. They will collaborate with clients, partners, and stakeholders across technology teams and the Qantas business to build the essential data environment and s…",https://www.adzuna.com.au/details/5031146678?utm_medium=api&utm_source=4a3e4881,2025-02-05 20:30:04.204101
Data Engineer,Entain,"East Brisbane, Brisbane",IT Jobs,,,,,2025-01-31T17:47:33Z,"Start your game… At Entain Australia & New Zealand we put our customers first, and our Data Engineering team plays a key role in improving their experience. Our team is focused on developing and optimizing our data assets, ensuring that information is delivered accurately and on time to support critical business decisions. This is an excellent opportunity for a Data Engineer seeking their next challenge in an environment with advanced technologies, full project exposure, and the chance to colla…",https://www.adzuna.com.au/details/5030626087?utm_medium=api&utm_source=4a3e4881,2025-02-05 20:30:04.204101
Data Engineer,XPT Software Australia Pty Ltd,"The Rocks, Sydney",IT Jobs,contract,,,,2025-02-05T04:50:17Z,"Job Description: As a Data Engineer, you will be responsible for designing, developing, and maintaining robust data infrastructure and pipelines. You will work closely with cross-functional teams to understand business requirements, optimize data workflows, and ensure the reliability and performance of our data systems. Key Responsibilities: · Design, build, and optimize data processing pipelines using Apache Spark, Python, Scala. · Develop and maintain data ingestion and extraction processes, …",https://www.adzuna.com.au/details/5036768826?utm_medium=api&utm_source=4a3e4881,2025-02-05 20:30:04.204101
Data Engineer,Qantas Airways Limited,"The Rocks, Sydney",IT Jobs,permanent,full_time,,,2025-02-02T08:11:08Z,"Job Description Exciting opportunity within our Data & Analytics team Permanent, full-time roles working at our Mascot Campus (hybrid working options available) Staff Travel Benefits from Day One The Data Engineer will utilise their experience and technical skills in data engineering to deliver data solutions as part of a data project team. They will collaborate with clients, partners, and stakeholders across technology teams and the Qantas business to build the essential data environment and s…",https://www.adzuna.com.au/details/5033549424?utm_medium=api&utm_source=4a3e4881,2025-02-05 20:30:04.204101
Data Engineer,Luxury Escapes,"The Rocks, Sydney",IT Jobs,permanent,full_time,,,2025-01-29T18:24:48Z,"About the job Luxury Escapes is one of the world’s fastest growing travel websites, with more than 8 million members, recently winning the National Travel Industry Award for Most Outstanding Online Travel Agency We are growing rapidly, and seeking a Data Engineer to join our team due to growth We're at the forefront of innovation, utilising advanced, open-source technologies like Snowplow and DBT to drive our data infrastructure. You'll have the unique opportunity to work with emerging technolo…",https://www.adzuna.com.au/details/5027930151?utm_medium=api&utm_source=4a3e4881,2025-02-05 20:30:04.204101
Data Engineer,Luxury Escapes,"Haymarket, Sydney",IT Jobs,,full_time,,,2025-01-31T09:58:59Z,"About the job Luxury Escapes is one of the world’s fastest growing travel websites, with more than 8 million members, recently winning the National Travel Industry Award for Most Outstanding Online Travel Agency We are growing rapidly, and seeking a Data Engineer to join our team due to growth We're at the forefront of innovation, utilising advanced, open-source technologies like Snowplow and DBT to drive our data infrastructure. You'll have the unique opportunity to work with emerging technolo…",https://www.adzuna.com.au/details/5030263948?utm_medium=api&utm_source=4a3e4881,2025-02-05 20:30:04.204101
Data Engineer,Cancer Institute NSW,"The Rocks, Sydney",Scientific & QA Jobs,permanent,part_time,,,2025-02-05T13:26:20Z,"Data Engineer Employment Type : Temporary Fixed Term for 24 months, Full Time and Part Time Options (until Feb 2027) Position Classification : Health Manager Level 2 Remuneration : $109,857.00 - $129,624.00 per annum, plus superannuation and 17.5% leave loading Hours Per Week : 38 (or part time hours available) Location : 1 Reserve Road, St Leonards, Sydney Requisition ID : REQ547871 We are looking for high performing Data Engineers to join the Data Engineering Team within the Cancer Services &…",https://www.adzuna.com.au/details/5037972214?utm_medium=api&utm_source=4a3e4881,2025-02-05 20:30:04.204101
Data Engineer,NSW Cancer Institute Division,"North Sydney, North Sydney Area",Scientific & QA Jobs,permanent,part_time,,,2025-02-05T13:26:13Z,"Data Engineer Employment Type : Temporary Fixed Term for 24 months, Full Time and Part Time Options (until Feb 2027) Position Classification : Health Manager Level 2 Remuneration : $109,857.00 - $129,624.00 per annum, plus superannuation and 17.5% leave loading Hours Per Week : 38 (or part time hours available) Location : 1 Reserve Road, St Leonards, Sydney Requisition ID : REQ547871 We are looking for high performing Data Engineers to join the Data Engineering Team within the Cancer Services &…",https://www.adzuna.com.au/details/5037970186?utm_medium=api&utm_source=4a3e4881,2025-02-05 20:30:04.204101
Data Engineer,Adairs Retail Group,"Victoria, Australia",IT Jobs,permanent,full_time,,,2025-02-05T13:25:59Z,"This is Adairs: We are clear about why we exist…. To create WOW…. Our passion and purpose is to provide inspiration and expertise; enabling everyone to weave their own story of home. We know our people, product and loyal customers are our defining point of difference in our market and are better working together in order deliver outstanding results as it’s always… always about the customer We are proudly Australian owned and ASX listed, with over 170 stores across Australia and New Zealand (and…",https://www.adzuna.com.au/details/5037966475?utm_medium=api&utm_source=4a3e4881,2025-02-05 20:30:04.204101
Data Engineer,Talent International,"Queensland, Australia",IT Jobs,,full_time,,,2025-02-01T14:05:59Z,"Purpose / Role Details The Data Engineer will join the data engineering team and be dedicated to the migration of data products and ETL processes to an Advanced Data Platform (ADP). This platform has been designed to modernise data capabilities and support digital innovation and AI initiatives. In this role, you will be responsible for executing the migration from an on-premise SQL Server data platform to a Snowflake instance on AWS. This will include, but is not limited to, the technical imple…",https://www.adzuna.com.au/details/5032062591?utm_medium=api&utm_source=4a3e4881,2025-02-05 20:30:04.204101
Data Engineer,Urbis,"Middle Park, Port Phillip",IT Jobs,permanent,full_time,,,2025-02-05T13:26:07Z,"About This Role Who we are: Urbis is people focussed, and we want the best for our team, our clients, and our communities. We are a community of passionate problem solvers, sought out by clients for our fresh thinking and approach to their city-shaping projects. Our mission is to help create meaningful, sustainable cities & communities. Urbis is an employer of choice for gender equality (EOCGE), recognised through the Workplace Gender Equality Agency (WGEA), and active participants in the Feder…",https://www.adzuna.com.au/details/5037968714?utm_medium=api&utm_source=4a3e4881,2025-02-05 20:30:04.204101
Data Engineer,Macquarie Group,"The Rocks, Sydney",Accounting & Finance Jobs,permanent,full_time,,,2025-02-05T13:26:02Z,"As a Digital Bank, software and data engineering is at the core of what we do. Our engineers operate in an autonomous environment where they are empowered to “do it right” and continuously learn, becoming masters in their craft. At Macquarie, our advantage is bringing together diverse people and empowering them to shape all kinds of possibilities. We are a global financial services group operating in 34 markets and with 55 years of unbroken profitability. You’ll be part of a friendly and suppor…",https://www.adzuna.com.au/details/5037967171?utm_medium=api&utm_source=4a3e4881,2025-02-05 20:30:04.204101
